TEAM_NAME,FG3M,FG3A,FG3_PCT,W_RANK,SEASON,year,Champion
Brooklyn Nets,1020,2600,0.392,4,2020-21,2020-21,Phoenix Suns
Charlotte Hornets,985,2666,0.369,19,2020-21,2020-21,Phoenix Suns
Chicago Bulls,904,2446,0.37,21,2020-21,2020-21,Phoenix Suns
Cleveland Cavaliers,720,2141,0.336,26,2020-21,2020-21,Phoenix Suns
Dallas Mavericks,994,2744,0.362,8,2020-21,2020-21,Phoenix Suns
Denver Nuggets,927,2462,0.377,5,2020-21,2020-21,Phoenix Suns
Detroit Pistons,832,2370,0.351,29,2020-21,2020-21,Phoenix Suns
Golden State Warriors,1048,2789,0.376,14,2020-21,2020-21,Phoenix Suns
Houston Rockets,992,2923,0.339,30,2020-21,2020-21,Phoenix Suns
Indiana Pacers,889,2445,0.364,17,2020-21,2020-21,Phoenix Suns
LA Clippers,1027,2498,0.411,5,2020-21,2020-21,Phoenix Suns
Los Angeles Lakers,796,2248,0.354,8,2020-21,2020-21,Phoenix Suns
Memphis Grizzlies,803,2258,0.356,15,2020-21,2020-21,Phoenix Suns
Miami Heat,932,2606,0.358,13,2020-21,2020-21,Phoenix Suns
Milwaukee Bucks,1038,2669,0.389,7,2020-21,2020-21,Phoenix Suns
Minnesota Timberwolves,944,2706,0.349,25,2020-21,2020-21,Phoenix Suns
New Orleans Pelicans,762,2190,0.348,21,2020-21,2020-21,Phoenix Suns
New York Knicks,847,2163,0.392,11,2020-21,2020-21,Phoenix Suns
Oklahoma City Thunder,857,2529,0.339,26,2020-21,2020-21,Phoenix Suns
Orlando Magic,784,2288,0.343,28,2020-21,2020-21,Phoenix Suns
Philadelphia 76ers,811,2169,0.374,3,2020-21,2020-21,Phoenix Suns
Phoenix Suns,940,2490,0.378,2,2020-21,2020-21,Phoenix Suns
Portland Trail Blazers,1132,2939,0.385,8,2020-21,2020-21,Phoenix Suns
Sacramento Kings,874,2400,0.364,21,2020-21,2020-21,Phoenix Suns
San Antonio Spurs,716,2046,0.35,19,2020-21,2020-21,Phoenix Suns
Toronto Raptors,1041,2831,0.368,24,2020-21,2020-21,Phoenix Suns
Utah Jazz,1205,3098,0.389,1,2020-21,2020-21,Phoenix Suns
Washington Wizards,733,2088,0.351,17,2020-21,2020-21,Phoenix Suns
Atlanta Hawks,1056,2821,0.374,16,2021-22,2021-22,Golden State Warriors
Boston Celtics,1085,3044,0.356,6,2021-22,2021-22,Golden State Warriors
Brooklyn Nets,940,2602,0.361,14,2021-22,2021-22,Golden State Warriors
Charlotte Hornets,1143,3130,0.365,16,2021-22,2021-22,Golden State Warriors
Chicago Bulls,872,2364,0.369,12,2021-22,2021-22,Golden State Warriors
Cleveland Cavaliers,953,2686,0.355,14,2021-22,2021-22,Golden State Warriors
Dallas Mavericks,1073,3063,0.35,5,2021-22,2021-22,Golden State Warriors
